行号,区域分组,门店编号,门店代码,门店名称,营业额(消费券),营业额(券售价),营业额(不含券),客单数,客单价,客单数占比,金额占比,会员金额占比,会员客单数,会员客单占比,会员商品销售金额,会员客单价,连带率
1,加盟门店3,1.0,1.0,余姚四明路店,416193.76,415549.6,415549.6,7606,54.6344,0.08%,0.08%,82.77%,4973,65.38%,343935.1,69.1605,9.72
2,加盟门店2,1000.0,1000.0,杭州临平天都城店,568394.06,567418,567418,13076,43.3939,0.14%,0.11%,78.33%,7535,57.62%,444464.5,58.9867,9.6
3,加盟门店2,1001.0,1001.0,萧山浦阳镇店,541972.7,539833.7,539833.7,7483,72.1413,0.08%,0.10%,87.47%,5414,72.35%,472216.1,87.2213,13.44
4,加盟门店2,1002.0,1002.0,台州路桥腾达路店,808560.49,807224.3,807224.3,9991,80.7951,0.11%,0.15%,93.22%,7960,79.67%,752513.7,94.5369,16.27
5,加盟门店2,1003.0,1003.0,丽水景宁鑫景商城店,315609.94,315110.8,315110.8,5747,54.8305,0.06%,0.06%,88.71%,4370,76.04%,279541.5,63.9683,11.2
6,加盟门店2,1004.0,1004.0,台州椒江下陈店,499583.02,498366.6,498366.6,8911,55.9271,0.10%,0.09%,88.60%,6152,69.04%,441540.4,71.7718,11.62
7,加盟门店2,1005.0,1005.0,温州瓯海鑫汇家园店,650629.29,649506.3,649506.3,10476,61.9995,0.12%,0.12%,83.37%,6789,64.81%,541487.4,79.7595,13.29
8,加盟门店2,1006.0,1006.0,绍兴越城旭辉广场店,442300.83,440957,440957,12028,36.6609,0.13%,0.08%,77.64%,6802,56.55%,342365.8,50.3331,7.56
9,加盟门店2,1007.0,1007.0,义乌荷叶塘店,403432.94,402067.8,402067.8,6893,58.3299,0.08%,0.08%,74.28%,3637,52.76%,298643.2,82.1125,11.2
10,加盟门店2,1008.0,1008.0,温州瞿溪新天地店,540958.93,539375,539375,11918,45.2572,0.13%,0.10%,74.15%,6665,55.92%,399940.6,60.0061,9.54
11,加盟门店2,1009.0,1009.0,温州龙港华电路店,485900.29,485056.1,485056.1,8260,58.7235,0.09%,0.09%,85.22%,5424,65.67%,413380.4,76.2132,11.14
12,加盟门店2,101.0,101.0,台州路桥富仕路店,586088.44,584482.65,584482.65,9094,64.2712,0.10%,0.11%,86.19%,6577,72.32%,503753.15,76.5932,11.62
13,加盟门店2,1010.0,1010.0,绍兴越城城南店,318375.74,316846.1,316846.1,6858,46.2009,0.08%,0.06%,78.00%,4067,59.30%,247125.2,60.7635,8.91
14,加盟门店2,1011.0,1011.0,宁波海曙布政店,398164.61,397395.6,397395.6,7265,54.7,0.08%,0.08%,80.75%,4614,63.51%,320915.2,69.5525,12.14
15,加盟门店2,1012.0,1012.0,温州乐清翁垟镇店,505387.38,504533.6,504533.6,8066,62.5507,0.09%,0.10%,79.14%,4994,61.91%,399286.6,79.9533,12.39
16,加盟门店2,1013.0,1013.0,丽水龙泉万达店,353108.01,351919.12,351919.12,9426,37.3349,0.10%,0.07%,70.94%,4684,49.69%,249661.22,53.3009,8.9
17,加盟门店2,1014.0,1014.0,台州温岭九龙店,276939.59,276486.6,276486.6,4633,59.6777,0.05%,0.05%,91.74%,3368,72.70%,253653.8,75.3129,11.46
18,加盟门店2,1015.0,1015.0,丽水缙云黄碧街店,513864.33,512855.7,512855.7,8066,63.5824,0.09%,0.10%,89.09%,6040,74.88%,456925.3,75.6499,13.31
19,加盟门店2,1016.0,1016.0,杭州临安宝龙店,359175.14,357340.6,357340.6,8297,43.0687,0.09%,0.07%,76.76%,4525,54.54%,274301.7,60.6192,9.3
20,加盟门店2,1017.0,1017.0,台州椒江章安店,806267.82,804455.6,804455.6,12151,66.2049,0.13%,0.15%,90.55%,9274,76.32%,728440.7,78.5465,13.05
21,加盟门店2,1018.0,1018.0,温州鹿城中洲大厦店,585459.02,584260.3,584260.3,11602,50.3586,0.13%,0.11%,83.81%,7840,67.57%,489662,62.4569,9.76
