调往门店名称,商品SKU数量,配送金额总和
上虞万悦城新店,1896,366069.24
上虞万达广场店,2233,552539.31
上虞东关镇店,2261,729958.48
上虞丰惠镇店,2012,522844.11
上虞人民路新店,1917,428328.77
上虞华维店,1909,403766.21
上虞城南舜耕大道店,1948,425697.42
上虞城西店,1984,400878.31
上虞小越镇新店,2056,676937.47
上虞峰山路店,1461,215012.22
上虞崧厦东大街店,2117,642135.85
上虞崧厦佳源广场店,2186,537746.39
上虞恒利店,1563,250985.33
上虞水尚名都店,2002,445963.31
上虞江扬路新店,1799,304485.25
上虞汤浦镇店,1788,328248.44
上虞百官广场店,1607,261572.56
上虞盖北镇店,1391,273508.67
上虞舜杰路新店,2358,783724.61
上虞谢塘镇店,1364,185283.67
上虞道墟镇店,2076,593940.99
丽水云和中山路店,1867,388524.23
丽水云和中梁店,1471,232328.24
丽水云和山水广场店,1747,389833.51
丽水庆元农贸市场店,1762,314521.84
丽水庆元和家园店,2165,493021.46
丽水景宁人民南路店,1803,370173.75
丽水景宁鑫景商城店,1257,186139.37
丽水松阳万家惠店,1964,417656.92
丽水松阳新华路店,2205,650469.1
丽水松阳江泰广场店,1737,297018.31
丽水缙云和泰城店,2368,934595.67
丽水缙云壶镇二店,1594,320635.13
丽水缙云壶镇店,1888,442204.99
丽水缙云新建镇店,1768,486724.4
丽水缙云溪滨北路店,1949,413705.15
丽水缙云黄碧街店,2116,552044.83
丽水缙云黄龙路店,1572,314516.8
丽水莲都万地广场店,1875,486762.15
丽水莲都中山店,1830,338750.2
丽水莲都囿山路店,1867,397912.69
丽水莲都天宁店,1661,282573.29
丽水莲都宇雷路店,2340,473815.62
丽水莲都寿尔福路店,1826,333710.2
丽水莲都水东路店,1777,314560.28
丽水莲都水阁店,2217,742253.6
丽水莲都碧湖镇店,1960,399522.81
丽水莲都秀山店,1973,395815.23
丽水莲都继光街店,1707,336266.51
丽水莲都西城广场店,1976,424024.1
丽水莲都银泰城店,2018,463119.17
丽水遂昌叶坦店,1400,259493.24
丽水遂昌园丁路店,1889,536747.09
丽水青田之心店,1930,429357.77
丽水青田江泰广场店,1572,268847.68
丽水青田涌金街店,1863,467284.87
丽水龙泉万达店,1696,310577.51
丽水龙泉剑池西路店,1581,297941.81
丽水龙泉华楼街店,1966,434447.51
义乌万体广场店,1075,158341.74
义乌上溪镇店,1629,251330.37
义乌义亭之心店,1438,206728.14
义乌众安广场店,1921,425764.43
义乌何麻车店,1341,221523.07
义乌佛堂大成路店,1648,283742.71
义乌佛堂宝龙广场店,2051,509330.14
义乌北苑路店,1115,151393.47
义乌后宅店,1713,337152.49
义乌大陈镇店,1556,234059.1
义乌宾王商贸区店,1767,358667.46
义乌工人北路三店,1785,346880.51
义乌工人北路二店,1690,323878.02
义乌工人北路店,2034,453627.05
义乌廿三里店,1427,236247.9
义乌新科路店,1971,470263.84
义乌望道路店,1519,236528.77
义乌柳青店,1386,213412.95
义乌江东中路二店,1511,251299.99
义乌江东中路店,1680,328977.45
义乌江滨西路店,1388,232718.98
义乌绣湖里店,1653,348396.86
义乌苏溪镇店,2013,474195.04
义乌荷叶塘店,1603,257145.43
义乌青口店,1604,245579.44
余姚万年桥店,1776,421623.76
余姚万达广场店,2180,632126.52
余姚丈亭镇渔溪店,1857,395222.07
余姚三七市镇店,2037,470197.92
余姚世南西路店,1591,280342.92
余姚世南西路绿城店,1685,277694.15
余姚临山镇店,2284,705991.32
余姚五彩城新店,69,81684.05
余姚低塘镇店,2383,608759.56
余姚兰江商贸城新店,1904,379441.87
余姚南雷路店,1824,334214.68
余姚嘉悦广场店,2513,911107.5
余姚四明路店,1773,309169.84
余姚小曹娥镇店,2143,528874.64
余姚慧聪家电城店,1971,533692.09
余姚文山路店,1995,452955.1
余姚新大新广场店,1507,250730.9
余姚新建北路店,2066,492918.73
余姚方桥店,1999,564597.86
余姚明伟店,2133,612725.4
余姚朗霞崇文路店,2213,666343.9
余姚梁弄镇店,1801,393744.75
余姚梁辉店,2083,456191.48
余姚河姆渡店,2112,429625.28
余姚泗门光明南路店,2203,613737.44
余姚泗门河塍北路店,2378,769740.06
余姚泗门镇新店,1989,540459.25
余姚玉立路店,1859,340014.81
余姚竹山桥店,1614,293771.22
余姚肖东石婆桥店,2111,583538.37
余姚胜山西路店,2000,416977.98
余姚郑巷振兴路店,2244,458221.96
余姚金型路店,1981,456394.36
余姚阳明东路新店,1644,286590.04
余姚阳明西路店,2168,591491.53
余姚陆埠二店,1966,385036.36
余姚陆埠店,2019,423316.29
